,title,platform,score,genre,release_year
5223,Teenage Mutant Ninja Turtles [2003],PlayStation (1-4),"(5, 6]",Fighting,2003
5224,ESPN NBA Basketball,"Xbox (360,One)","(9, 10]",Sports,2003
5225,Rogue Ops,GameCube,"(7, 8]",Action,2003
5226,Rogue Ops,"Xbox (360,One)","(7, 8]",Action,2003
5227,Gladius,"Xbox (360,One)","(8, 9]",Strategy,2003
5228,Hidden & Dangerous 2,PC,"(7, 8]",Action,2003
5229,NBA ShootOut 2004,PlayStation (1-4),"(6, 7]",Sports,2003
5230,Gladius,PlayStation (1-4),"(7, 8]",Strategy,2003
5231,Tak and the Power of Juju,Game Boy (C/A),"(4, 5]",Platformer,2003
5232,The Sims: Makin' Magic,PC,"(8, 9]",Simulation,2003
5233,Rogue Ops,PlayStation (1-4),"(7, 8]",Action,2003
5234,Tom Clancy's Rainbow Six 3,"Xbox (360,One)","(9, 10]",Shooter,2003
5235,Gladius,GameCube,"(8, 9]",Strategy,2003
5236,Tony Hawk's Underground,"Xbox (360,One)","(9, 10]",Sports,2003
5237,SpongeBob SquarePants: The Battle For Bikini Bottom,PlayStation (1-4),"(7, 8]",Platformer,2003
5238,Amped 2,"Xbox (360,One)","(8, 9]",Sports,2003
5239,Top Spin,"Xbox (360,One)","(9, 10]",Sports,2003
5240,Tony Hawk's Underground,GameCube,"(9, 10]",Sports,2003
5241,Tony Hawk's Underground,PlayStation (1-4),"(9, 10]",Sports,2003
5242,Looney Tunes: Back in Action: Zany Race,Mobile,"(0, 1]",Racing,2003
5243,NFL Blitz: Pro,PlayStation (1-4),"(7, 8]",Sports,2003
5244,Harry Potter: Quidditch World Cup,"Xbox (360,One)","(7, 8]",Sports,2003
5245,Backyard Basketball,PlayStation (1-4),"(6, 7]",Sports,2003
5246,kill.switch,PlayStation (1-4),"(7, 8]",Shooter,2003
5247,Harry Potter: Quidditch World Cup,GameCube,"(7, 8]",Sports,2003
5248,Harry Potter: Quidditch World Cup,PlayStation (1-4),"(7, 8]",Sports,2003
5249,SWAT: Global Strike Team,"Xbox (360,One)","(6, 7]",Action,2003
5250,The Lord of the Rings: The Return of the King,PC,"(8, 9]",Action,2003
5251,Conflict: Desert Storm II: Back to Baghdad,PC,"(7, 8]",Action,2003
5252,Ford Racing 2,"Xbox (360,One)","(4, 5]",Racing,2003
5253,Gladiator: Sword of Vengeance,"Xbox (360,One)","(7, 8]",Action,2003
5254,Gladiator: Sword of Vengeance,PlayStation (1-4),"(7, 8]",Action,2003
5255,Frogger's Journey: Forgotten Relic,Game Boy (C/A),"(4, 5]",Action,2003
5256,Harry Potter: Quidditch World Cup,Game Boy (C/A),"(5, 6]",Sports,2003
5257,The Lord of the Rings: The Return of the King,PlayStation (1-4),"(8, 9]",Action,2003
5258,Ford Racing 2,PlayStation (1-4),"(4, 5]",Racing,2003
